Title,Author(s),Published Year,Editions,Avg. Rating,Num. of Ratings
Data Science for Business: What you need to know about data mining and data-analytic thinking,"['Foster Provost', 'Tom Fawcett']",2013,14,4.16,"1,777"
Data Smart: Using Data Science to Transform Information into Insight,['John W. Foreman'],2013,15,4.14,898
Data Science from Scratch: First Principles with Python,['Joel Grus'],2015,20,3.93,764
Doing Data Science,"['Rachel Schutt', ""Cathy O'Neil""]",2013,10,3.69,514
"R for Data Science: Import, Tidy, Transform, Visualize, and Model Data","['Hadley Wickham', 'Garrett Grolemund']",2016,14,4.59,664
Numsense! Data Science for the Layman: No Math Added,"['Annalyn Ng', 'Kenneth Soo']",0,6,4.16,455
Python Data Science Handbook: Tools and Techniques for Developers,['Jake Vanderplas'],2016,8,4.32,355
What Is Data Science?,['Mike Loukides'],2011,7,3.69,572
Data Science,"['John D. Kelleher', 'Brendan Tierney']",0,6,3.96,394
Building Data Science Teams,['D.J. Patil'],2011,5,3.67,302
The Art of Data Science: A Guide for Anyone Who Works with Data,"['Roger D. Peng', 'Elizabeth Matsui']",2015,2,3.76,200
"Computer Age Statistical Inference: Algorithms, Evidence, and Data Science","['Bradley Efron', 'Trevor Hastie']",0,4,4.43,91
Data Science For Dummies,['Lillian Pierson'],2014,13,3.42,158
Data Science for Executives: Leveraging Machine Intelligence to Drive Business ROI,['Nir Kaldero'],0,2,3.78,41
R Programming for Data Science,['Roger D. Peng'],2015,3,3.60,153
Practical Data Science with R,"['Nina Zumel', 'John Mount']",2014,2,4.14,81
"Humanizing Big Data: Marketing at the Meeting of Data, Social Science & Consumer Insight",['Colin Strong'],2014,1,3.75,36
Ethics and Data Science,"['Mike Loukides', 'Hilary Mason', 'Dj Patil']",0,4,4.21,101
Agile Data Science: Building Data Analytics Applications with Hadoop,['Russell Jurney'],2012,7,3.33,69
The Data Science Handbook,"['Carl Shan', 'Henry Wang', 'William Chen']",2015,1,3.88,76
Data Science with R,['Garrett Grolemund'],2015,1,4.57,95
Think Like a Data Scientist: Tackle the data science process step-by-step,['Brian Godsey'],0,1,3.78,54
How Data Science Is Transforming Health Care,"['Mike Loukides', ""Tim O'Reilly"", 'Julie Steele']",2012,6,3.51,115
"Data Science from Scratch with Python: Step-by-Step Beginner Guide for Statistics, Machine Learning, Deep learning and NLP using Python, Numpy, Pandas, Scipy, Matplotlib, Sciki-Learn, TensorFlow",['Peter Morgan'],0,2,4.00,26
"Business Data Science: Combining Machine Learning and Economics to Optimize, Automate, and Accelerate Business Decisions",['Matt Taddy'],0,3,4.29,17
"Analytics: Data Science, Data Analysis and Predictive Analytics for Business",['Daniel Covington'],0,3,3.14,56
The Data Science Design Manual,['Steven Skiena'],0,3,4.63,27
The Data Science Handbook: Advice and Insights from 25 Amazing Data Scientists,"['Carl Shan', 'William Chen', 'Henry Wang']",2015,1,4.08,25
R for Data Science,"['Garrett Grolemund', 'Hadley Wickham']",0,2,4.73,51
Malware Data Science: Attack Detection and Attribution,"['Joshua Saxe', 'Hillary Sanders']",0,2,3.83,24
Data Science at the Command Line: Facing the Future with Time-Tested Tools,['Jeroen Janssens'],2014,7,3.82,118
Getting Started with Data Science: Making Sense of Data with Analytics,['Murtaza Haider'],2015,5,4.35,23
Python for Data Science For Dummies,"['John Paul Mueller', 'Luca Massaron']",2015,9,4.00,28
Build a Career in Data Science,"['Emily  Robinson', 'Jacqueline Nolis']",0,2,4.38,39
"Data Science and Big Data Analytics: Discovering, Analyzing, Visualizing and Presenting Data",['EMC Education Services'],2014,5,3.90,49
Practical Data Science Cookbook,"['Tony Ojeda', 'Sean Patrick Murphy', 'Benjamin Bengfort']",2014,4,3.83,36
Machine Learning: An Introduction Math Guide for Beginners to Understand Data Science Through the Business Applications,['Samuel Hack'],0,1,4.20,5
"Data Analytics: Applicable Data Analysis to Advance Any Business Using the Power of Data Driven Analytics (Big Data Analytics, Data Science, Business Intelligence Book 6)",['Jeff Reed'],0,1,3.41,32
"Data Science for Beginners: 4 Books in 1: Python Programming, Data Analysis, Machine Learning. A Complete Overview to Master The Art of Data Science From Scratch Using Python for Business",['Andrew Park'],0,1,4.50,10
Data Analytics: What Every Business Must Know About Big Data And Data Science,['James                   Smith'],0,2,4.12,43
The Enterprise Big Data Lake: Delivering the Promise of Big Data and Data Science,['Alex Gorelik'],0,6,3.67,49
The Data Science Handbook,['Field Cady'],0,4,3.84,32
"Machine Learning: w/ Java, Lvl 1: Create GREAT Machine Learning Algorithms! Build INTELLIGENT Apps TODAY! Great for: Data Mining, Neural Networks, Deep ... Intelligence (Machine Learning Series)","['Q Data Science and Machine Intel', 'EZEE Programming']",0,1,4.50,2
Data Science on the Google Cloud Platform: Implementing End-To-End Real-Time Data Pipelines: From Ingest to Machine Learning,['Valliappa Lakshmanan'],0,7,4.16,31
Data Science from Scratch with Python: A Step By Step Guide for Beginner's and Faster Way To Learn Python In 7 Days & NLP using Advanced,['Richard Wilson'],0,2,3.60,5
"Data Science From Scratch: First Principles with Python, Second Edition",['Joel Grus'],0,3,3.45,11
"Fraud Analytics Using Descriptive, Predictive, and Social Network Techniques: A Guide to Data Science for Fraud Detection (Wiley and SAS Business Series)","['Bart Baesens', 'Veronique Van Vlasselaer', 'Wouter Verbeke']",2015,5,3.92,40
Analytics in a Big Data World: The Essential Guide to Data Science and Its Applications,['Bart Baesens'],2014,6,3.61,38
A Simple Introduction to Data Science,"['Lars Nielsen', 'noreen burlingame']",2012,2,3.47,73
Computer Science With C++ Concepts File Handling Data Structures - Vol. I and II,['Sumita Arora'],0,1,4.10,544
Big Data MBA: Driving Business Strategies with Data Science,['Bill Schmarzo'],2016,5,3.83,47
"Data Analytics: Practical Guide to Leveraging the Power of Algorithms, Data Science, Data Mining, Statistics, Big Data, and Predictive Analysis to Improve Business, Work, and Life",['Arthur Zhang'],0,2,3.30,20
Agile Data Science 2.0: Building Full-Stack Data Analytics Applications with Spark,['Russell Jurney'],0,6,3.59,39
Foundations of Data Science,"['Avrim Blum', 'John Hopcroft', 'Ravindran Kannan']",0,6,4.08,13
"Deep Learning in Python: Master Data Science and Machine Learning with Modern Neural Networks written in Python, Theano, and TensorFlow",['Lazy Programmer'],0,2,3.55,31
"C#: Machine Learning, Lvl 1: Create GREAT Machine Learning Algorithms! Build INTELLIGENT Apps TODAY! Great for: Data Mining, Neural Networks, Deep Learning, ... Intelligence (Machine Learning Series)","['Q Data Science and Machine Intel', 'EZEE Programming']",0,1,4.00,1
Python Data Science Essentials - Learn the fundamentals of Data Science with Python,"['Alberto Boschetti', 'Luca Massaron']",2015,6,3.90,41
"Python: 4 Books in 1: Ultimate Beginner's Guide, 7 Days Crash Course, Advanced Guide, and Data Science, Learn Computer Programming and Machine Learning with Step-by-Step Exercises",['John Russel'],0,2,4.00,2
Executive Data Science,"['Brian Caffo', 'Roger D. Peng', 'Jeffrey Leek']",0,1,3.56,34
100 Questions to Crack Data Science Interview,['TheDataMonk'],0,1,4.00,20
An Introduction to Data Science,['Jeffrey M. Stanton'],0,2,3.18,28
"Machine Learning Mathematics: Study Deep Learning Through Data Science. How to Build Artificial Intelligence Through Concepts of Statistics, Algorithms, Analysis and Data Mining",['Samuel Hack'],0,3,4.20,15
"Intro to Python for Computer Science and Data Science: Learning to Program with Ai, Big Data and the Cloud","['Paul Deitel', 'Harvey Deitel']",0,1,4.00,10
"Data Science from Scratch: The #1 Data Science Guide for Everything A Data Scientist Needs to Know: Python, Linear Algebra, Statistics, Coding, Applications, Neural Networks, and Decision Tree",['Steven Cooper'],0,2,2.75,24
Statistical inference for data science,['Brian Caffo'],2015,1,3.16,31
"Big Data Demystified: How to Use Big Data, Data Science and AI to Make Better Business Decisions and Gain Competitive Advantage",['David Stephenson'],2018,2,3.66,29
"Data-Driven Science and Engineering: Machine Learning, Dynamical Systems, and Control","['Steven L. Brunton', 'J. Nathan Kutz']",0,5,5.00,10
"PYTHON: Learn Coding Programs with Python Programming and Master Data Analysis & Analytics, Data Science and Machine Learning with the Complete Crash Course for Beginners - 4 Books in 1",['Tech Ed Academy'],0,1,3.33,3
Principles of Data Science: Learn the techniques and math you need to start making sense of your data,['Sinan Ozdemir'],0,3,4.05,22
Markov Models: Master Data Science and Unsupervised Machine Learning in Python,['LazyProgrammer'],0,1,3.77,22
"Learning to Love Data Science: Explorations of Emerging Technologies and Platforms for Predictive Analytics, Machine Learning, Digital Manufacturing and Supply Chain Optimization",['Mike Barlow'],2015,6,3.51,39
Python Data Science Cookbook,['Gopi Subramanian'],0,5,3.50,12
The Field Guide to Data Science,['Booz Allen Hamilton'],2013,2,3.65,31
